probe_id,gene_symbol,gene_display,mean_abs_shap
213555_at,RWDD2A,RWDD2A (213555_at),0.0006552882772666762
230656_s_at,CIRH1A,CIRH1A (230656_s_at),0.0006480258212379676
200625_s_at,CAP1,CAP1 (200625_s_at),0.0006425568844579982
1559060_a_at,FNIP1,FNIP1 (1559060_a_at),0.0006406882644121968
209953_s_at,CDC37,CDC37 (209953_s_at),0.0006363774156946158
220488_s_at,BCAS3,BCAS3 (220488_s_at),0.0006325617026653616
233031_at,ZEB2,ZEB2 (233031_at),0.0006322769615382001
225061_at,DNAJA4,DNAJA4 (225061_at),0.000631166642089425
229606_at,,229606_at,0.0006259681382680734
218763_at,STX18,STX18 (218763_at),0.0006240356284593016
1555982_at,ZFYVE16,ZFYVE16 (1555982_at),0.0006217670659506002
224227_s_at,BDP1,BDP1 (224227_s_at),0.0006196965079747199
242611_at,,242611_at,0.0006192652597691263
240971_x_at,,240971_x_at,0.0006181493684544252
214762_at,ATP6V1G2,ATP6V1G2 (214762_at),0.0006169616626268052
214682_at,PKD1P1,PKD1P1 (214682_at),0.0006141282144074043
1559375_s_at,RP11-194N12.2,RP11-194N12.2 (1559375_s_at),0.0006133798983894104
209192_x_at,KAT5,KAT5 (209192_x_at),0.0006052585204028234
204786_s_at,IFNAR2,IFNAR2 (204786_s_at),0.00060172290814821
204338_s_at,RGS4,RGS4 (204338_s_at),0.0005985971791736662
223002_s_at,XRN2,XRN2 (223002_s_at),0.0005900971063910095
202012_s_at,EXT2,EXT2 (202012_s_at),0.0005900928043994556
209196_at,WDR46,WDR46 (209196_at),0.0005887855745140975
212837_at,FAM175B,FAM175B (212837_at),0.0005845077486923748
204260_at,CHGB,CHGB (204260_at),0.0005796450903395773
1558118_at,DGCR5|LOC100287576,DGCR5|LOC100287576 (1558118_at),0.0005786979780340445
202975_s_at,RHOBTB3,RHOBTB3 (202975_s_at),0.0005750653297369512
206562_s_at,CSNK1A1,CSNK1A1 (206562_s_at),0.0005743886222826129
202443_x_at,NOTCH2,NOTCH2 (202443_x_at),0.0005653919958497427
237444_at,KIF13A,KIF13A (237444_at),0.000562552968283057
215383_x_at,SPG21,SPG21 (215383_x_at),0.0005595720069404282
206483_at,LRRC6,LRRC6 (206483_at),0.0005537606891626251
208999_at,SEPT8,SEPT8 (208999_at),0.0005527049013842591
242609_x_at,,242609_x_at,0.0005523707181555125
221432_s_at,SLC25A28,SLC25A28 (221432_s_at),0.000550879447085168
200027_at,NARS,NARS (200027_at),0.0005506841006117296
222983_s_at,PAIP2,PAIP2 (222983_s_at),0.0005503557289271581
222005_s_at,GNG3,GNG3 (222005_s_at),0.0005440989279362824
238584_at,IQCA1,IQCA1 (238584_at),0.0005432989358889897
205325_at,PHYHIP,PHYHIP (205325_at),0.0005411639293642553
231271_x_at,NMRAL1,NMRAL1 (231271_x_at),0.000539886113694498
239035_at,MTHFR,MTHFR (239035_at),0.0005389690002196996
224187_x_at,HSPA8|SNORD14C|SNORD14D,HSPA8|SNORD14C|SNORD14D (224187_x_at),0.0005346667801764337
233152_x_at,,233152_x_at,0.000531893128650817
220260_at,TBC1D19,TBC1D19 (220260_at),0.0005283236101091187
210448_s_at,P2RX5,P2RX5 (210448_s_at),0.0005221345162688209
222809_x_at,CCDC85C,CCDC85C (222809_x_at),0.0005192580877814072
201232_s_at,PSMD13,PSMD13 (201232_s_at),0.0005166571309892721
224680_at,TMED4,TMED4 (224680_at),0.0005163129219195213
224851_at,CDK6,CDK6 (224851_at),0.0005145382308593243
202120_x_at,AP2S1,AP2S1 (202120_x_at),0.0005143057299217986
222780_s_at,BAALC,BAALC (222780_s_at),0.0005137992801700343
208121_s_at,PTPRO,PTPRO (208121_s_at),0.0005113350603780114
203122_at,TRAPPC12,TRAPPC12 (203122_at),0.0005106138653998394
233816_at,,233816_at,0.0005079194512420038
201217_x_at,RNU86|RPL3|SNORD83B,RNU86|RPL3|SNORD83B (201217_x_at),0.0005062291829621884
222132_s_at,AGK,AGK (222132_s_at),0.0005048538676956076
204094_s_at,TSC22D2,TSC22D2 (204094_s_at),0.0005019829928568358
57082_at,LDLRAP1,LDLRAP1 (57082_at),0.0005013953003201383
213789_at,EBP,EBP (213789_at),0.0004940065823946461
215116_s_at,DNM1,DNM1 (215116_s_at),0.0004937218264551533
242673_at,,242673_at,0.0004934253773014309
1558739_at,LOH12CR1,LOH12CR1 (1558739_at),0.0004900508043237308
203723_at,ITPKB,ITPKB (203723_at),0.0004896749456614989
210130_s_at,TM7SF2,TM7SF2 (210130_s_at),0.0004873086386580584
224871_at,TPRG1L,TPRG1L (224871_at),0.0004857623897859448
206621_s_at,EIF4H,EIF4H (206621_s_at),0.0004817938452853301
207504_at,CA7,CA7 (207504_at),0.00048125214787257686
212491_s_at,DNAJC8,DNAJC8 (212491_s_at),0.00047963291690529276
214736_s_at,ADD1,ADD1 (214736_s_at),0.00047552262940009094
238058_at,PRR34-AS1,PRR34-AS1 (238058_at),0.0004749831885155258
214671_s_at,ABR,ABR (214671_s_at),0.00047357918396218556
212432_at,GRPEL1,GRPEL1 (212432_at),0.00047320349610528934
230411_at,UBE2V2,UBE2V2 (230411_at),0.0004727937779380074
201173_x_at,NUDC,NUDC (201173_x_at),0.0004726643309409104
1556364_at,ADAMTS9-AS2,ADAMTS9-AS2 (1556364_at),0.0004717284400002489
209093_s_at,GBA|GBAP1,GBA|GBAP1 (209093_s_at),0.0004705338363535372
204823_at,NAV3,NAV3 (204823_at),0.00046920718538616114
211297_s_at,CDK7,CDK7 (211297_s_at),0.0004663209708235744
232392_at,SRSF3,SRSF3 (232392_at),0.0004636652692677751
239629_at,,239629_at,0.00046342763101496996
233700_at,,233700_at,0.00046285114627427824
209583_s_at,CD200,CD200 (209583_s_at),0.00046192144192711617
220948_s_at,ATP1A1,ATP1A1 (220948_s_at),0.00046115034995876435
209252_at,HARS2,HARS2 (209252_at),0.00045777749412476186
200637_s_at,PTPRF,PTPRF (200637_s_at),0.00045753177380630284
209336_at,PWP2,PWP2 (209336_at),0.00045594920389372936
200801_x_at,ACTB,ACTB (200801_x_at),0.00045502706648481325
229541_at,,229541_at,0.0004531307055101723
224280_s_at,MTFR1L,MTFR1L (224280_s_at),0.0004519526726333031
