gene,gene_symbol,gene_label,mean_abs_shap
218133_s_at,NIF3L1,NIF3L1,0.0011547921207077
217964_at,TTC19,TTC19,0.0011530111287116
212411_at,IMP4,IMP4,0.0011505915706232
230923_at,FAM19A1,FAM19A1,0.0011448461771184
208835_s_at,LUC7L3,LUC7L3,0.0011438088459697
235592_at,,235592_at,0.001140718480139
208969_at,NDUFA9,NDUFA9,0.0011389434638688
237560_at,MRPS5,MRPS5,0.0011378238598941
209014_at,MAGED1,MAGED1,0.0011366941761864
224878_at,UBFD1,UBFD1,0.0011355766770322
1555950_a_at,CD55,CD55,0.0011320216941013
214170_x_at,FH,FH,0.0011302113247787
201142_at,EIF2S1,EIF2S1,0.0011247675170621
222395_s_at,UBE2Z,UBE2Z,0.0011220286337244
1568603_at,CADPS,CADPS,0.0011206576238005
233216_at,ZDHHC21,ZDHHC21,0.0011159038664293
227068_at,PGK1,PGK1,0.0011157679407903
38398_at,MADD,MADD,0.0011143047462157
1558922_at,,1558922_at,0.0011090073596112
225733_at,B3GALT6,B3GALT6,0.0011082313647728
220966_x_at,ARPC5L,ARPC5L,0.0011064123207467
236704_at,LOC101929787,LOC101929787,0.0011009014521374
228763_at,MDP1|NEDD8-MDP1,MDP1|NEDD8-MDP1,0.0011001881718456
213726_x_at,TUBB4B,TUBB4B,0.0010916480536822
229961_x_at,YJEFN3,YJEFN3,0.0010905700269422
229677_at,SLC39A3,SLC39A3,0.0010898513499937
242239_at,NSUN6,NSUN6,0.0010881472045412
231281_at,,231281_at,0.001088077867862
219134_at,ELTD1,ELTD1,0.0010812895016264
225799_at,LINC00152|LOC101930489|MIR4435-1HG,LINC00152|LOC101930489|MIR4435-1HG,0.0010696147467739
242299_at,,242299_at,0.0010672055347115
200802_at,SARS,SARS,0.0010638300362005
226062_x_at,FAM63A,FAM63A,0.0010614508565789
1569129_s_at,C3orf38,C3orf38,0.0010603592458294
201341_at,ENC1,ENC1,0.0010601143576192
201410_at,PLEKHB2,PLEKHB2,0.0010597951109014
201828_x_at,FAM127A,FAM127A,0.0010558397112733
223145_s_at,AKIRIN2,AKIRIN2,0.0010514544188045
201345_s_at,UBE2D2,UBE2D2,0.0010492231735638
236081_at,SNCA,SNCA,0.0010471163459541
224738_x_at,RPL7L1,RPL7L1,0.0010433592464952
227944_at,PTPN3,PTPN3,0.0010430177429623
200955_at,IMMT,IMMT,0.0010425326430461
201519_at,TOMM70A,TOMM70A,0.0010421719464993
211714_x_at,TUBB,TUBB,0.0010410332857928
225493_at,CCNT1,CCNT1,0.0010398857987591
225742_at,MDM4,MDM4,0.0010351528828506
209265_s_at,METTL3,METTL3,0.0010269387771691
201900_s_at,AKR1A1,AKR1A1,0.0010224011421337
241769_at,,241769_at,0.0010216110773025
211546_x_at,SNCA,SNCA,0.0010188973324103
203909_at,SLC9A6,SLC9A6,0.0010154241458374
1568604_a_at,CADPS,CADPS,0.0010135943490341
226377_at,NFIC,NFIC,0.0010096524023614
221908_at,RNFT2,RNFT2,0.001003997345959
241215_at,,241215_at,0.0010011597922931
216080_s_at,FADS3,FADS3,0.0009967785646941
202838_at,FUCA1,FUCA1,0.000994637484256
208598_s_at,HUWE1,HUWE1,0.0009944465462631
213015_at,BBX,BBX,0.0009889600689415
203264_s_at,ARHGEF9,ARHGEF9,0.0009883408987346
218664_at,MECR,MECR,0.0009879766148259
242428_at,,242428_at,0.0009864028078725
226999_at,RNPC3,RNPC3,0.0009844965440203
214415_at,PLGLB1|PLGLB2,PLGLB1|PLGLB2,0.0009778733391643
219193_at,WDR70,WDR70,0.0009768604691871
202242_at,TSPAN7,TSPAN7,0.0009756312473019
215535_s_at,AGPAT1,AGPAT1,0.0009755319511588
202279_at,C14orf2,C14orf2,0.0009750601990668
222380_s_at,PDCD6,PDCD6,0.0009723034913439
201313_at,ENO2,ENO2,0.00097079161452
1561167_at,,1561167_at,0.0009685897438217
208722_s_at,ANAPC5,ANAPC5,0.0009660775830303
202737_s_at,LSM4,LSM4,0.0009635443977097
214439_x_at,BIN1,BIN1,0.0009612374682509
1555824_a_at,PACS2,PACS2,0.0009602592358553
209225_x_at,TNPO1,TNPO1,0.0009600068175689
221476_s_at,RPL15,RPL15,0.000956169327295
221504_s_at,ATP6V1H,ATP6V1H,0.0009560143438265
208308_s_at,GPI,GPI,0.0009518215458416
212068_s_at,PRRC2B,PRRC2B,0.0009511310111249
