gene,gene_symbol,gene_label,F_score,p_value
201232_s_at,PSMD13,PSMD13,28.305733790874797,1.0107895959374878e-06
1566887_x_at,,1566887_x_at,28.276892349334783,1.021816264513644e-06
200901_s_at,M6PR|PHC1,M6PR|PHC1,28.259591715810657,1.0284899274952756e-06
212296_at,PSMD14,PSMD14,28.242620918064674,1.035079909847363e-06
1552735_at,PCDHGA4,PCDHGA4,28.23017973780597,1.0399385536337742e-06
201628_s_at,RRAGA,RRAGA,28.206601976355863,1.0492107969174833e-06
217482_at,,217482_at,28.191123111946663,1.0553442368996748e-06
207877_s_at,NVL,NVL,28.144608409290814,1.073998329383413e-06
217576_x_at,SOS2,SOS2,28.143596421393156,1.074407921133506e-06
210792_x_at,SIVA1,SIVA1,28.141320661926336,1.0753295983694232e-06
202507_s_at,SNAP25,SNAP25,28.124226789198257,1.0822786174798052e-06
223185_s_at,BHLHE41,BHLHE41,28.115219462779752,1.0859588456202748e-06
236617_at,,236617_at,28.10780585368454,1.0889975637282072e-06
1559375_s_at,RP11-194N12.2,RP11-194N12.2,28.102237971174972,1.0912854968111062e-06
1559419_at,CACNB2,CACNB2,28.086678644017404,1.0977053190176403e-06
223107_s_at,ZCCHC17,ZCCHC17,28.066346268466624,1.1061530946478629e-06
215588_x_at,RIOK3,RIOK3,28.04673507939384,1.1143645753019353e-06
203445_s_at,CTDSP2,CTDSP2,28.04556492046229,1.114856514548888e-06
1559060_a_at,FNIP1,FNIP1,28.00786028324447,1.1308277978293e-06
204219_s_at,PSMC1,PSMC1,27.9886137040743,1.1390709617706234e-06
227062_at,MIR612|NEAT1,MIR612|NEAT1,27.96339207940884,1.1499668283156938e-06
208870_x_at,ATP5C1,ATP5C1,27.938969808815795,1.1606195230048958e-06
243300_at,,243300_at,27.93300302533563,1.1632375517492717e-06
224666_at,NSMCE1,NSMCE1,27.92225955910262,1.167966754012803e-06
200820_at,PSMD8,PSMD8,27.918369508674285,1.1696839999886995e-06
242431_at,,242431_at,27.912671208560752,1.1722041785507555e-06
1559436_x_at,,1559436_x_at,27.88938802357786,1.1825597562452212e-06
242671_at,,242671_at,27.8853953830267,1.1843449759817082e-06
212923_s_at,PXDC1,PXDC1,27.862948402885603,1.1944333585061003e-06
210758_at,PSIP1,PSIP1,27.85611279455012,1.1975230173645142e-06
242990_at,,242990_at,27.82026242781505,1.2138623088611735e-06
232058_at,,232058_at,27.813746494474557,1.2168565679662931e-06
244530_at,,244530_at,27.81105471195221,1.2180957355754358e-06
237868_x_at,,237868_x_at,27.80161945482375,1.2224495311907113e-06
242195_x_at,NUMBL,NUMBL,27.78792086353492,1.2287990972776157e-06
203517_at,MTX2,MTX2,27.781189308787564,1.231931723451643e-06
232280_at,SLC25A29,SLC25A29,27.77337580135953,1.2355781527716132e-06
1563130_a_at,,1563130_a_at,27.751010520710658,1.2460771227561468e-06
52255_s_at,COL5A3,COL5A3,27.742478586735903,1.250106417904226e-06
212639_x_at,TUBA1B,TUBA1B,27.73503251893969,1.253633849981205e-06
201313_at,ENO2,ENO2,27.72851936106355,1.2567277258219365e-06
233041_x_at,,233041_x_at,27.700086071316385,1.2703263234409726e-06
200955_at,IMMT,IMMT,27.686478313007303,1.2768878634366691e-06
205711_x_at,ATP5C1,ATP5C1,27.66811136435879,1.2857995552257612e-06
244357_at,,244357_at,27.64165162062852,1.2987504799564277e-06
232426_at,SV2B,SV2B,27.64077852062013,1.2991801045612337e-06
226627_at,SEPT8,SEPT8,27.639023011569694,1.3000443768626282e-06
200639_s_at,YWHAZ,YWHAZ,27.58429728490071,1.32728557470774e-06
218488_at,EIF2B3,EIF2B3,27.56805526634443,1.3354829228660322e-06
202178_at,PRKCZ,PRKCZ,27.5142569921869,1.3630086863842055e-06
200966_x_at,ALDOA,ALDOA,27.50094079894873,1.3699115301149296e-06
242819_at,,242819_at,27.490340220613916,1.3754323501027826e-06
225733_at,B3GALT6,B3GALT6,27.4151236988271,1.415268347660166e-06
228546_at,DPP6,DPP6,27.397971223675953,1.4245175825847434e-06
243496_at,RAB18,RAB18,27.397346108950693,1.4248558387203774e-06
235850_at,FAM162A,FAM162A,27.380426139303715,1.4340428562433038e-06
204247_s_at,CDK5,CDK5,27.37919718074497,1.4347125110093252e-06
