gene,gene_symbol,gene_label,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
201390_s_at,CSNK2B,CSNK2B,0.0056453033658069,1598,0.0,1069,1333.5
212114_at,ATXN7L3B,ATXN7L3B,0.0125476101613397,1107,0.0,1563,1335.0
211494_s_at,SLC4A4,SLC4A4,0.0126472974363901,1102,0.0,1569,1335.5
209372_x_at,TUBB2A|TUBB2B,TUBB2A|TUBB2B,0.0192242137031524,769,0.0,1902,1335.5
236617_at,,236617_at,0.0036489986575727,1770,0.0,909,1339.5
213609_s_at,SEZ6L,SEZ6L,0.0155633763849788,936,0.0,1744,1340.0
213005_s_at,KANK1,KANK1,0.0151057227500439,970,0.0,1713,1341.5
1558678_s_at,MALAT1,MALAT1,0.0081960499659028,1415,0.0,1269,1342.0
208742_s_at,SAP18,SAP18,0.0204515116327917,722,0.0,1966,1344.0
213366_x_at,ATP5C1,ATP5C1,0.0145561362043963,994,0.0,1696,1345.0
201135_at,ECHS1,ECHS1,0.0100655497166962,1278,0.0,1413,1345.5
205652_s_at,TTLL1,TTLL1,0.0179615411027467,826,0.0,1867,1346.5
235694_at,TCFL5,TCFL5,0.0032104340370274,1794,0.0,902,1348.0
215535_s_at,AGPAT1,AGPAT1,0.0138789700541594,1032,0.0,1665,1348.5
213738_s_at,ATP5A1,ATP5A1,0.0152045543490498,962,0.0,1736,1349.0
200754_x_at,MIR636|SRSF2,MIR636|SRSF2,0.0097480522285938,1297,0.0,1405,1351.0
210550_s_at,RASGRF1,RASGRF1,0.0184705732582309,793,0.0,1917,1355.0
213762_x_at,LOC101928747|RBMX|SNORD61,LOC101928747|RBMX|SNORD61,0.0148879862581031,979,0.0,1734,1356.5
210027_s_at,APEX1,APEX1,0.0178422442031126,833,0.0,1880,1356.5
203509_at,SORL1,SORL1,0.0067426372598001,1529,0.0,1188,1358.5
1558831_x_at,,1558831_x_at,0.0076458789635293,1457,0.0,1263,1360.0
200941_at,HSBP1,HSBP1,0.0095902156367272,1310,0.0,1410,1360.0
213214_x_at,ACTB|ACTG1,ACTB|ACTG1,0.0141103873438505,1018,0.0,1705,1361.5
229973_at,ERICH3,ERICH3,0.0022867321151755,1855,0.0,871,1363.0
203105_s_at,DNM1L,DNM1L,0.0073132140954519,1489,0.0,1245,1367.0
215588_x_at,RIOK3,RIOK3,0.0131507824562929,1073,0.0,1662,1367.5
212207_at,MED13L,MED13L,0.0109767716279824,1220,0.0,1519,1369.5
203376_at,CDC40,CDC40,0.0070527441082485,1515,0.0,1228,1371.5
204466_s_at,SNCA,SNCA,0.0059842683961138,1573,0.0,1171,1372.0
1555824_a_at,PACS2,PACS2,0.0085595462221446,1381,0.0,1364,1372.5
206857_s_at,FKBP1B,FKBP1B,0.0150440547148736,973,0.0,1775,1374.0
213912_at,TBC1D30,TBC1D30,0.0140669898043353,1021,0.0,1727,1374.0
205277_at,PRDM2,PRDM2,0.0157720175303938,928,0.0,1820,1374.0
209159_s_at,NDRG4,NDRG4,0.0194633463564143,759,0.0,1990,1374.5
