gene,gene_display,gene_symbol,gene_label,importance_mean,importance_std
224280_s_at,MTFR1L (224280_s_at),MTFR1L,MTFR1L,0.0,0.0
224254_x_at,224254_x_at,,224254_x_at,0.0,0.0
224227_s_at,BDP1 (224227_s_at),BDP1,BDP1,0.0,0.0
224187_x_at,HSPA8|SNORD14C|SNORD14D (224187_x_at),HSPA8|SNORD14C|SNORD14D,HSPA8|SNORD14C|SNORD14D,0.0,0.0
224163_s_at,DMAP1 (224163_s_at),DMAP1,DMAP1,0.0,0.0
224709_s_at,CDC42SE2 (224709_s_at),CDC42SE2,CDC42SE2,0.0,0.0
224726_at,MIB1 (224726_at),MIB1,MIB1,0.0,0.0
224738_x_at,RPL7L1 (224738_x_at),RPL7L1,RPL7L1,0.0,0.0
224743_at,IMPAD1 (224743_at),IMPAD1,IMPAD1,0.0,0.0
225117_at,KANSL1 (225117_at),KANSL1,KANSL1,0.0,0.0
225115_at,HIPK2 (225115_at),HIPK2,HIPK2,0.0,0.0
225111_s_at,NAPB (225111_s_at),NAPB,NAPB,0.0,0.0
225094_at,SETD8 (225094_at),SETD8,SETD8,0.0,0.0
225092_at,RABEP1 (225092_at),RABEP1,RABEP1,0.0,0.0
225063_at,UBL7 (225063_at),UBL7,UBL7,0.0,0.0
225061_at,DNAJA4 (225061_at),DNAJA4,DNAJA4,0.0,0.0
225044_at,NT5C3B (225044_at),NT5C3B,NT5C3B,0.0,0.0
225003_at,TMEM205 (225003_at),TMEM205,TMEM205,0.0,0.0
225001_at,RAB3D (225001_at),RAB3D,RAB3D,0.0,0.0
224999_at,EGFR (224999_at),EGFR,EGFR,0.0,0.0
224975_at,NFIA (224975_at),NFIA,NFIA,0.0,0.0
224970_at,NFIA (224970_at),NFIA,NFIA,0.0,0.0
224943_at,BTBD7 (224943_at),BTBD7,BTBD7,0.0,0.0
224913_s_at,TIMM50 (224913_s_at),TIMM50,TIMM50,0.0,0.0
224879_at,TMEM261 (224879_at),TMEM261,TMEM261,0.0,0.0
224878_at,UBFD1 (224878_at),UBFD1,UBFD1,0.0,0.0
224875_at,C5orf24 (224875_at),C5orf24,C5orf24,0.0,0.0
224871_at,TPRG1L (224871_at),TPRG1L,TPRG1L,0.0,0.0
224851_at,CDK6 (224851_at),CDK6,CDK6,0.0,0.0
224825_at,DNTTIP1 (224825_at),DNTTIP1,DNTTIP1,0.0,0.0
224818_at,SORT1 (224818_at),SORT1,SORT1,0.0,0.0
224801_at,NDFIP2 (224801_at),NDFIP2,NDFIP2,0.0,0.0
224799_at,NDFIP2 (224799_at),NDFIP2,NDFIP2,0.0,0.0
224782_at,ZMAT2 (224782_at),ZMAT2,ZMAT2,0.0,0.0
224774_s_at,NAV1 (224774_s_at),NAV1,NAV1,0.0,0.0
224771_at,NAV1 (224771_at),NAV1,NAV1,0.0,0.0
224156_x_at,IL17RB (224156_x_at),IL17RB,IL17RB,0.0,0.0
224057_s_at,THAP4 (224057_s_at),THAP4,THAP4,0.0,0.0
1316_at,THRA (1316_at),THRA,THRA,0.0,0.0
223104_at,JAGN1 (223104_at),JAGN1,JAGN1,0.0,0.0
223211_at,HACL1 (223211_at),HACL1,HACL1,0.0,0.0
223207_x_at,PHPT1 (223207_x_at),PHPT1,PHPT1,0.0,0.0
223206_s_at,NMRAL1 (223206_s_at),NMRAL1,NMRAL1,0.0,0.0
223193_x_at,FAM162A (223193_x_at),FAM162A,FAM162A,0.0,0.0
223189_x_at,KMT2E (223189_x_at),KMT2E,KMT2E,0.0,0.0
223185_s_at,BHLHE41 (223185_s_at),BHLHE41,BHLHE41,0.0,0.0
223183_at,AGPAT3 (223183_at),AGPAT3,AGPAT3,0.0,0.0
223156_at,MRPS23 (223156_at),MRPS23,MRPS23,0.0,0.0
223145_s_at,AKIRIN2 (223145_s_at),AKIRIN2,AKIRIN2,0.0,0.0
223134_at,BBX (223134_at),BBX,BBX,0.0,0.0
223124_s_at,PITHD1 (223124_s_at),PITHD1,PITHD1,0.0,0.0
223109_at,TRUB2 (223109_at),TRUB2,TRUB2,0.0,0.0
223107_s_at,ZCCHC17 (223107_s_at),ZCCHC17,ZCCHC17,0.0,0.0
223088_x_at,ECHDC1 (223088_x_at),ECHDC1,ECHDC1,0.0,0.0
224025_s_at,ATG7 (224025_s_at),ATG7,ATG7,0.0,0.0
223082_at,SH3KBP1 (223082_at),SH3KBP1,SH3KBP1,0.0,0.0
223060_at,C14orf119 (223060_at),C14orf119,C14orf119,0.0,0.0
223059_s_at,FAM107B (223059_s_at),FAM107B,FAM107B,0.0,0.0
223056_s_at,XPO5 (223056_s_at),XPO5,XPO5,0.0,0.0
223043_at,EMC4 (223043_at),EMC4,EMC4,0.0,0.0
223037_at,PDZD11 (223037_at),PDZD11,PDZD11,0.0,0.0
223020_at,CLPTM1L (223020_at),CLPTM1L,CLPTM1L,0.0,0.0
223011_s_at,OCIAD1 (223011_s_at),OCIAD1,OCIAD1,0.0,0.0
223002_s_at,XRN2 (223002_s_at),XRN2,XRN2,0.0,0.0
222997_s_at,MRPS21 (222997_s_at),MRPS21,MRPS21,0.0,0.0
222995_s_at,RHBDD2 (222995_s_at),RHBDD2,RHBDD2,0.0,0.0
222984_at,PAIP2 (222984_at),PAIP2,PAIP2,0.0,0.0
222983_s_at,PAIP2 (222983_s_at),PAIP2,PAIP2,0.0,0.0
223216_x_at,FBXO16|ZNF395 (223216_x_at),FBXO16|ZNF395,FBXO16|ZNF395,0.0,0.0
223219_s_at,CNOT10 (223219_s_at),CNOT10,CNOT10,0.0,0.0
223223_at,ARV1 (223223_at),ARV1,ARV1,0.0,0.0
223229_at,UBE2T (223229_at),UBE2T,UBE2T,0.0,0.0
223964_x_at,223964_x_at,,223964_x_at,0.0,0.0
223913_s_at,MIR7-3HG (223913_s_at),MIR7-3HG,MIR7-3HG,0.0,0.0
223857_x_at,EMC4 (223857_x_at),EMC4,EMC4,0.0,0.0
223757_at,DIO3OS (223757_at),DIO3OS,DIO3OS,0.0,0.0
223721_s_at,DNAJC12 (223721_s_at),DNAJC12,DNAJC12,0.0,0.0
223711_s_at,THYN1 (223711_s_at),THYN1,THYN1,0.0,0.0
223708_at,C1QTNF4 (223708_at),C1QTNF4,C1QTNF4,0.0,0.0
223701_s_at,USP47 (223701_s_at),USP47,USP47,0.0,0.0
223697_x_at,C9orf64 (223697_x_at),C9orf64,C9orf64,0.0,0.0
223673_at,RFX4 (223673_at),RFX4,RFX4,0.0,0.0
223662_x_at,DDX59 (223662_x_at),DDX59,DDX59,0.0,0.0
223650_s_at,NRBF2 (223650_s_at),NRBF2,NRBF2,0.0,0.0
223628_at,TMEM191A (223628_at),TMEM191A,TMEM191A,0.0,0.0
223532_at,ANKRD39 (223532_at),ANKRD39,ANKRD39,0.0,0.0
223480_s_at,MRPL47 (223480_s_at),MRPL47,MRPL47,0.0,0.0
223461_at,TBC1D7 (223461_at),TBC1D7,TBC1D7,0.0,0.0
223460_at,CAMKK1 (223460_at),CAMKK1,CAMKK1,0.0,0.0
223450_s_at,COG3 (223450_s_at),COG3,COG3,0.0,0.0
223380_s_at,LATS2 (223380_s_at),LATS2,LATS2,0.0,0.0
223363_at,PSMG3 (223363_at),PSMG3,PSMG3,0.0,0.0
223340_at,ATL1 (223340_at),ATL1,ATL1,0.0,0.0
223334_at,TMEM126A (223334_at),TMEM126A,TMEM126A,0.0,0.0
223328_at,ARMC10 (223328_at),ARMC10,ARMC10,0.0,0.0
223319_at,GPHN (223319_at),GPHN,GPHN,0.0,0.0
223316_at,CCDC3 (223316_at),CCDC3,CCDC3,0.0,0.0
223272_s_at,NTPCR (223272_s_at),NTPCR,NTPCR,0.0,0.0
223248_at,HSDL1 (223248_at),HSDL1,HSDL1,0.0,0.0
225121_at,TBC1D23 (225121_at),TBC1D23,TBC1D23,0.0,0.0
225234_at,CBL (225234_at),CBL,CBL,0.0,0.0
225237_s_at,MSI2 (225237_s_at),MSI2,MSI2,0.0,0.0
227068_at,PGK1 (227068_at),PGK1,PGK1,0.0,0.0
227365_at,ATCAY (227365_at),ATCAY,ATCAY,0.0,0.0
227322_s_at,BCCIP (227322_s_at),BCCIP,BCCIP,0.0,0.0
227321_at,GATS (227321_at),GATS,GATS,0.0,0.0
227297_at,ITGA9 (227297_at),ITGA9,ITGA9,0.0,0.0
227283_at,EFR3B (227283_at),EFR3B,EFR3B,0.0,0.0
227260_at,227260_at,,227260_at,0.0,0.0
227252_at,LRP10 (227252_at),LRP10,LRP10,0.0,0.0
227246_at,PLRG1 (227246_at),PLRG1,PLRG1,0.0,0.0
227196_at,RHPN2 (227196_at),RHPN2,RHPN2,0.0,0.0
227178_at,CELF2 (227178_at),CELF2,CELF2,0.0,0.0
227152_at,KIAA1551 (227152_at),KIAA1551,KIAA1551,0.0,0.0
227084_at,DTNA (227084_at),DTNA,DTNA,0.0,0.0
227082_at,ZBTB20 (227082_at),ZBTB20,ZBTB20,0.0,0.0
227062_at,MIR612|NEAT1 (227062_at),MIR612|NEAT1,MIR612|NEAT1,0.0,0.0
225239_at,MIR612|NEAT1 (225239_at),MIR612|NEAT1,MIR612|NEAT1,0.0,0.0
227051_at,BACE2 (227051_at),BACE2,BACE2,0.0,0.0
227022_at,GNPDA2 (227022_at),GNPDA2,GNPDA2,0.0,0.0
226999_at,RNPC3 (226999_at),RNPC3,RNPC3,0.0,0.0
226938_at,DCAF4 (226938_at),DCAF4,DCAF4,0.0,0.0
226912_at,ZDHHC23 (226912_at),ZDHHC23,ZDHHC23,0.0,0.0
226899_at,UNC5B (226899_at),UNC5B,UNC5B,0.0,0.0
226879_at,HVCN1 (226879_at),HVCN1,HVCN1,0.0,0.0
226876_at,FAM101B (226876_at),FAM101B,FAM101B,0.0,0.0
226806_s_at,NFIA (226806_s_at),NFIA,NFIA,0.0,0.0
226779_at,LMBRD2 (226779_at),LMBRD2,LMBRD2,0.0,0.0
226770_at,MAGI3 (226770_at),MAGI3,MAGI3,0.0,0.0
226751_at,CNRIP1 (226751_at),CNRIP1,CNRIP1,0.0,0.0
226749_at,MRPS9 (226749_at),MRPS9,MRPS9,0.0,0.0
227404_s_at,EGR1 (227404_s_at),EGR1,EGR1,0.0,0.0
227434_at,WBSCR17 (227434_at),WBSCR17,WBSCR17,0.0,0.0
227453_at,UNC13A (227453_at),UNC13A,UNC13A,0.0,0.0
227556_at,NME7 (227556_at),NME7,NME7,0.0,0.0
228715_at,ZCCHC12 (228715_at),ZCCHC12,ZCCHC12,0.0,0.0
228686_at,LINC01184|LOC101929964 (228686_at),LINC01184|LOC101929964,LINC01184|LOC101929964,0.0,0.0
228613_at,RAB11FIP3 (228613_at),RAB11FIP3,RAB11FIP3,0.0,0.0
228581_at,KCNJ10 (228581_at),KCNJ10,KCNJ10,0.0,0.0
228556_at,YTHDC1 (228556_at),YTHDC1,YTHDC1,0.0,0.0
228546_at,DPP6 (228546_at),DPP6,DPP6,0.0,0.0
228544_s_at,CSRP2BP|PET117 (228544_s_at),CSRP2BP|PET117,CSRP2BP|PET117,0.0,0.0
228541_x_at,NGRN (228541_x_at),NGRN,NGRN,0.0,0.0
228456_s_at,CDS2 (228456_s_at),CDS2,CDS2,0.0,0.0
228301_x_at,NDUFB10 (228301_x_at),NDUFB10,NDUFB10,0.0,0.0
228059_x_at,MRPS22 (228059_x_at),MRPS22,MRPS22,0.0,0.0
228038_at,SOX2 (228038_at),SOX2,SOX2,0.0,0.0
228027_at,ARMCX5-GPRASP2|GPRASP2 (228027_at),ARMCX5-GPRASP2|GPRASP2,ARMCX5-GPRASP2|GPRASP2,0.0,0.0
228010_at,PPP2R2C (228010_at),PPP2R2C,PPP2R2C,0.0,0.0
227959_at,ANKRD9 (227959_at),ANKRD9,ANKRD9,0.0,0.0
227944_at,PTPN3 (227944_at),PTPN3,PTPN3,0.0,0.0
227897_at,227897_at,,227897_at,0.0,0.0
227882_at,FKRP (227882_at),FKRP,FKRP,0.0,0.0
227872_at,POLR3A (227872_at),POLR3A,POLR3A,0.0,0.0
227849_at,RP9 (227849_at),RP9,RP9,0.0,0.0
227847_at,EPM2AIP1 (227847_at),EPM2AIP1,EPM2AIP1,0.0,0.0
227830_at,GABRB3 (227830_at),GABRB3,GABRB3,0.0,0.0
227760_at,IGFBPL1 (227760_at),IGFBPL1,IGFBPL1,0.0,0.0
227730_at,DYM (227730_at),DYM,DYM,0.0,0.0
227663_at,227663_at,,227663_at,0.0,0.0
227582_at,KLHDC9 (227582_at),KLHDC9,KLHDC9,0.0,0.0
227580_s_at,TECPR1 (227580_s_at),TECPR1,TECPR1,0.0,0.0
226675_s_at,MALAT1 (226675_s_at),MALAT1,MALAT1,0.0,0.0
226648_at,HIF1AN (226648_at),HIF1AN,HIF1AN,0.0,0.0
226647_at,TMEM25 (226647_at),TMEM25,TMEM25,0.0,0.0
225870_s_at,TRAPPC5 (225870_s_at),TRAPPC5,TRAPPC5,0.0,0.0
225781_at,MAPK9 (225781_at),MAPK9,MAPK9,0.0,0.0
225779_at,SLC27A4 (225779_at),SLC27A4,SLC27A4,0.0,0.0
225771_at,AP1G1 (225771_at),AP1G1,AP1G1,0.0,0.0
225742_at,MDM4 (225742_at),MDM4,MDM4,0.0,0.0
225741_at,THUMPD3 (225741_at),THUMPD3,THUMPD3,0.0,0.0
225733_at,B3GALT6 (225733_at),B3GALT6,B3GALT6,0.0,0.0
225719_s_at,MRPL55 (225719_s_at),MRPL55,MRPL55,0.0,0.0
225699_at,LOC101928927|SNHG15|SNORA9 (225699_at),LOC101928927|SNHG15|SNORA9,LOC101928927|SNHG15|SNORA9,0.0,0.0
225657_at,NCBP2-AS2 (225657_at),NCBP2-AS2,NCBP2-AS2,0.0,0.0
225571_at,LIFR (225571_at),LIFR,LIFR,0.0,0.0
225568_at,TMEM141 (225568_at),TMEM141,TMEM141,0.0,0.0
225556_at,VMA21 (225556_at),VMA21,VMA21,0.0,0.0
225534_at,SMIM19 (225534_at),SMIM19,SMIM19,0.0,0.0
225507_at,PNISR (225507_at),PNISR,PNISR,0.0,0.0
225493_at,CCNT1 (225493_at),CCNT1,CCNT1,0.0,0.0
225489_at,TMEM18 (225489_at),TMEM18,TMEM18,0.0,0.0
225446_at,BRWD1 (225446_at),BRWD1,BRWD1,0.0,0.0
225415_at,DTX3L (225415_at),DTX3L,DTX3L,0.0,0.0
225407_at,MBP (225407_at),MBP,MBP,0.0,0.0
225387_at,TSPAN5 (225387_at),TSPAN5,TSPAN5,0.0,0.0
225379_at,MAPT (225379_at),MAPT,MAPT,0.0,0.0
225368_at,HIPK2 (225368_at),HIPK2,HIPK2,0.0,0.0
225330_at,IGF1R (225330_at),IGF1R,IGF1R,0.0,0.0
225304_s_at,NDUFA11 (225304_s_at),NDUFA11,NDUFA11,0.0,0.0
225295_at,SLC39A10 (225295_at),SLC39A10,SLC39A10,0.0,0.0
225293_at,COL27A1 (225293_at),COL27A1,COL27A1,0.0,0.0
225240_s_at,MSI2 (225240_s_at),MSI2,MSI2,0.0,0.0
225799_at,LINC00152|LOC101930489|MIR4435-1HG (225799_at),LINC00152|LOC101930489|MIR4435-1HG,LINC00152|LOC101930489|MIR4435-1HG,0.0,0.0
225878_at,KIF1B (225878_at),KIF1B,KIF1B,0.0,0.0
226644_at,MIB2 (226644_at),MIB2,MIB2,0.0,0.0
225900_at,EXOC6B (225900_at),EXOC6B,EXOC6B,0.0,0.0
226627_at,SEPT8 (226627_at),SEPT8,SEPT8,0.0,0.0
226618_at,UBE2QL1 (226618_at),UBE2QL1,UBE2QL1,0.0,0.0
226579_at,RP11-73M18.8 (226579_at),RP11-73M18.8,RP11-73M18.8,0.0,0.0
226554_at,ZBTB7A (226554_at),ZBTB7A,ZBTB7A,0.0,0.0
226544_x_at,BLOC1S5|EEF1E1-BLOC1S5 (226544_x_at),BLOC1S5|EEF1E1-BLOC1S5,BLOC1S5|EEF1E1-BLOC1S5,0.0,0.0
226507_at,PAK1 (226507_at),PAK1,PAK1,0.0,0.0
226443_at,FAM122A (226443_at),FAM122A,FAM122A,0.0,0.0
226433_at,RNF157 (226433_at),RNF157,RNF157,0.0,0.0
226428_at,TNPO2 (226428_at),TNPO2,TNPO2,0.0,0.0
226391_at,BRAF (226391_at),BRAF,BRAF,0.0,0.0
226382_at,LOC283070 (226382_at),LOC283070,LOC283070,0.0,0.0
226377_at,NFIC (226377_at),NFIC,NFIC,0.0,0.0
226360_at,ZNRF3 (226360_at),ZNRF3,ZNRF3,0.0,0.0
226296_s_at,MRPS15 (226296_s_at),MRPS15,MRPS15,0.0,0.0
226291_at,ALS2 (226291_at),ALS2,ALS2,0.0,0.0
226246_at,KCTD1 (226246_at),KCTD1,KCTD1,0.0,0.0
226195_at,IFT43 (226195_at),IFT43,IFT43,0.0,0.0
226188_at,LGALSL (226188_at),LGALSL,LGALSL,0.0,0.0
226086_at,SYT13 (226086_at),SYT13,SYT13,0.0,0.0
226062_x_at,FAM63A (226062_x_at),FAM63A,FAM63A,0.0,0.0
226024_at,COMMD1 (226024_at),COMMD1,COMMD1,0.0,0.0
226006_at,PET100 (226006_at),PET100,PET100,0.0,0.0
225941_at,EIF4E3 (225941_at),EIF4E3,EIF4E3,0.0,0.0
225934_at,225934_at,,225934_at,0.0,0.0
225923_at,VAPB (225923_at),VAPB,VAPB,0.0,0.0
225912_at,TP53INP1 (225912_at),TP53INP1,TP53INP1,0.0,0.0
225905_s_at,ST3GAL3 (225905_s_at),ST3GAL3,ST3GAL3,0.0,0.0
222902_s_at,EXO5 (222902_s_at),EXO5,EXO5,0.0,0.0
222887_s_at,TMEM127 (222887_s_at),TMEM127,TMEM127,0.0,0.0
222862_s_at,AK5 (222862_s_at),AK5,AK5,0.0,0.0
218205_s_at,MKNK2 (218205_s_at),MKNK2,MKNK2,0.0,0.0
218415_at,VPS33B (218415_at),VPS33B,VPS33B,0.0,0.0
218380_at,LOC728392 (218380_at),LOC728392,LOC728392,0.0,0.0
218377_s_at,RWDD2B (218377_s_at),RWDD2B,RWDD2B,0.0,0.0
218354_at,TRAPPC2L (218354_at),TRAPPC2L,TRAPPC2L,0.0,0.0
218336_at,PFDN2 (218336_at),PFDN2,PFDN2,0.0,0.0
218328_at,COQ4 (218328_at),COQ4,COQ4,0.0,0.0
218310_at,KCTD7|RABGEF1 (218310_at),KCTD7|RABGEF1,KCTD7|RABGEF1,0.0,0.0
218302_at,PSENEN (218302_at),PSENEN,PSENEN,0.0,0.0
218271_s_at,PARL (218271_s_at),PARL,PARL,0.0,0.0
218263_s_at,ZBED5 (218263_s_at),ZBED5,ZBED5,0.0,0.0
218251_at,MID1IP1 (218251_at),MID1IP1,MID1IP1,0.0,0.0
218220_at,C12orf10 (218220_at),C12orf10,C12orf10,0.0,0.0
218212_s_at,MOCS2 (218212_s_at),MOCS2,MOCS2,0.0,0.0
218204_s_at,FYCO1 (218204_s_at),FYCO1,FYCO1,0.0,0.0
219338_s_at,LRRC49 (219338_s_at),LRRC49,LRRC49,0.0,0.0
218177_at,CHMP1B (218177_at),CHMP1B,CHMP1B,0.0,0.0
218160_at,NDUFA8 (218160_at),NDUFA8,NDUFA8,0.0,0.0
218155_x_at,TSR1 (218155_x_at),TSR1,TSR1,0.0,0.0
218138_at,MKKS (218138_at),MKKS,MKKS,0.0,0.0
218133_s_at,NIF3L1 (218133_s_at),NIF3L1,NIF3L1,0.0,0.0
218125_s_at,CCDC25 (218125_s_at),CCDC25,CCDC25,0.0,0.0
218120_s_at,HMOX2 (218120_s_at),HMOX2,HMOX2,0.0,0.0
218118_s_at,TIMM23|TIMM23B (218118_s_at),TIMM23|TIMM23B,TIMM23|TIMM23B,0.0,0.0
218117_at,RBX1 (218117_at),RBX1,RBX1,0.0,0.0
218105_s_at,MRPL4 (218105_s_at),MRPL4,MRPL4,0.0,0.0
218086_at,NPDC1 (218086_at),NPDC1,NPDC1,0.0,0.0
218080_x_at,FAF1 (218080_x_at),FAF1,FAF1,0.0,0.0
218066_at,SLC12A7 (218066_at),SLC12A7,SLC12A7,0.0,0.0
218456_at,CAPRIN2 (218456_at),CAPRIN2,CAPRIN2,0.0,0.0
218488_at,EIF2B3 (218488_at),EIF2B3,EIF2B3,0.0,0.0
218491_s_at,THYN1 (218491_s_at),THYN1,THYN1,0.0,0.0
218500_at,THEM6 (218500_at),THEM6,THEM6,0.0,0.0
219255_x_at,IL17RB (219255_x_at),IL17RB,IL17RB,0.0,0.0
219203_at,EMC9 (219203_at),EMC9,EMC9,0.0,0.0
219193_at,WDR70 (219193_at),WDR70,WDR70,0.0,0.0
219134_at,ELTD1 (219134_at),ELTD1,ELTD1,0.0,0.0
219097_x_at,SMIM7 (219097_x_at),SMIM7,SMIM7,0.0,0.0
219028_at,HIPK2 (219028_at),HIPK2,HIPK2,0.0,0.0
219019_at,PIDD1 (219019_at),PIDD1,PIDD1,0.0,0.0
218953_s_at,PCYOX1L (218953_s_at),PCYOX1L,PCYOX1L,0.0,0.0
218935_at,EHD3 (218935_at),EHD3,EHD3,0.0,0.0
218897_at,TMEM177 (218897_at),TMEM177,TMEM177,0.0,0.0
218805_at,GIMAP1-GIMAP5|GIMAP5 (218805_at),GIMAP1-GIMAP5|GIMAP5,GIMAP1-GIMAP5|GIMAP5,0.0,0.0
218788_s_at,SMYD3 (218788_s_at),SMYD3,SMYD3,0.0,0.0
218763_at,STX18 (218763_at),STX18,STX18,0.0,0.0
218735_s_at,ZNF544 (218735_s_at),ZNF544,ZNF544,0.0,0.0
218732_at,PTRH2 (218732_at),PTRH2,PTRH2,0.0,0.0
218679_s_at,VPS28 (218679_s_at),VPS28,VPS28,0.0,0.0
218664_at,MECR (218664_at),MECR,MECR,0.0,0.0
218653_at,SLC25A15 (218653_at),SLC25A15,SLC25A15,0.0,0.0
218651_s_at,LARP6 (218651_s_at),LARP6,LARP6,0.0,0.0
218628_at,CCDC53 (218628_at),CCDC53,CCDC53,0.0,0.0
218625_at,NRN1 (218625_at),NRN1,NRN1,0.0,0.0
218623_at,HMP19 (218623_at),HMP19,HMP19,0.0,0.0
218609_s_at,NUDT2 (218609_s_at),NUDT2,NUDT2,0.0,0.0
218579_s_at,DHX35 (218579_s_at),DHX35,DHX35,0.0,0.0
218557_at,NIT2 (218557_at),NIT2,NIT2,0.0,0.0
218546_at,C1orf115 (218546_at),C1orf115,C1orf115,0.0,0.0
218504_at,FAHD2A (218504_at),FAHD2A,FAHD2A,0.0,0.0
218059_at,ZNF706 (218059_at),ZNF706,ZNF706,0.0,0.0
218037_at,FAM134A (218037_at),FAM134A,FAM134A,0.0,0.0
217965_s_at,SAP30BP (217965_s_at),SAP30BP,SAP30BP,0.0,0.0
217446_x_at,217446_x_at,,217446_x_at,0.0,0.0
217331_at,217331_at,,217331_at,0.0,0.0
217225_x_at,LOC101060373|NOMO1|NOMO2|NOMO3 (217225_x_at),LOC101060373|NOMO1|NOMO2|NOMO3,LOC101060373|NOMO1|NOMO2|NOMO3,0.0,0.0
217152_at,217152_at,,217152_at,0.0,0.0
217077_s_at,GABBR2 (217077_s_at),GABBR2,GABBR2,0.0,0.0
216977_x_at,SNRPA1 (216977_x_at),SNRPA1,SNRPA1,0.0,0.0
216751_at,216751_at,,216751_at,0.0,0.0
216745_x_at,216745_x_at,,216745_x_at,0.0,0.0
216609_at,TXN (216609_at),TXN,TXN,0.0,0.0
216602_s_at,FARSA (216602_s_at),FARSA,FARSA,0.0,0.0
216524_x_at,216524_x_at,,216524_x_at,0.0,0.0
216308_x_at,GRHPR (216308_x_at),GRHPR,GRHPR,0.0,0.0
216264_s_at,LAMB2 (216264_s_at),LAMB2,LAMB2,0.0,0.0
216232_s_at,GCN1L1 (216232_s_at),GCN1L1,GCN1L1,0.0,0.0
216187_x_at,216187_x_at,,216187_x_at,0.0,0.0
216101_at,216101_at,,216101_at,0.0,0.0
216080_s_at,FADS3 (216080_s_at),FADS3,FADS3,0.0,0.0
216044_x_at,FAM69A (216044_x_at),FAM69A,FAM69A,0.0,0.0
216006_at,216006_at,,216006_at,0.0,0.0
215991_s_at,EMC1 (215991_s_at),EMC1,EMC1,0.0,0.0
215962_at,215962_at,,215962_at,0.0,0.0
215811_at,215811_at,,215811_at,0.0,0.0
215789_s_at,AJAP1 (215789_s_at),AJAP1,AJAP1,0.0,0.0
215785_s_at,CYFIP2 (215785_s_at),CYFIP2,CYFIP2,0.0,0.0
215780_s_at,SET|SETP4|SETSIP (215780_s_at),SET|SETP4|SETSIP,SET|SETP4|SETSIP,0.0,0.0
215722_s_at,SNRPA1 (215722_s_at),SNRPA1,SNRPA1,0.0,0.0
215714_s_at,SMARCA4 (215714_s_at),SMARCA4,SMARCA4,0.0,0.0
215700_x_at,CPNE6 (215700_x_at),CPNE6,CPNE6,0.0,0.0
217398_x_at,GAPDH (217398_x_at),GAPDH,GAPDH,0.0,0.0
217482_at,217482_at,,217482_at,0.0,0.0
217964_at,TTC19 (217964_at),TTC19,TTC19,0.0,0.0
217546_at,MT1M (217546_at),MT1M,MT1M,0.0,0.0
217959_s_at,MIR3656|TRAPPC4 (217959_s_at),MIR3656|TRAPPC4,MIR3656|TRAPPC4,0.0,0.0
217941_s_at,ERBB2IP (217941_s_at),ERBB2IP,ERBB2IP,0.0,0.0
217939_s_at,AFTPH (217939_s_at),AFTPH,AFTPH,0.0,0.0
217932_at,MRPS7 (217932_at),MRPS7,MRPS7,0.0,0.0
217923_at,PEF1 (217923_at),PEF1,PEF1,0.0,0.0
217890_s_at,PARVA (217890_s_at),PARVA,PARVA,0.0,0.0
217867_x_at,BACE2 (217867_x_at),BACE2,BACE2,0.0,0.0
