gene,mean_abs_shap
201892_s_at,0.0008902303356023298
244292_at,0.0008888123122111939
202320_at,0.0008825538058061134
223189_x_at,0.0008780071337889752
225699_at,0.0008705496785789217
222530_s_at,0.0008646214446660875
200975_at,0.000864142838026907
210792_x_at,0.000853718408280738
208643_s_at,0.0008495560119346615
217738_at,0.0008439308695303053
220113_x_at,0.0008406986376872245
227404_s_at,0.000839435597690773
212162_at,0.0008389768228682771
1556244_s_at,0.0008318706931514702
219833_s_at,0.0008309567230156328
202712_s_at,0.0008296846194971514
237937_x_at,0.0008283420717229881
233350_s_at,0.0008275837804839423
221449_s_at,0.0008258411459953448
237106_at,0.0008197821283622637
241216_at,0.0008196667955761435
211500_at,0.0008177648015846443
224879_at,0.0008167059178091549
240018_at,0.0008161804693612152
210460_s_at,0.0008159599650510017
211679_x_at,0.0008142123437415086
224509_s_at,0.0008106233461377228
201145_at,0.000804543819298854
225330_at,0.0008040537051637165
210461_s_at,0.0007775110659840533
217860_at,0.0007746302013219309
240521_at,0.0007645623915337795
202852_s_at,0.0007592636771992418
202477_s_at,0.0007508092425453207
200001_at,0.0007435919034110363
211047_x_at,0.000740127237409502
201758_at,0.0007374863154023142
202893_at,0.0007357996417441323
204745_x_at,0.0007337180003145624
234969_s_at,0.0007237050879915467
206826_at,0.0007218573966103809
226912_at,0.0007197507696291098
212850_s_at,0.0007195693871819105
232551_at,0.0007154918196425735
202501_at,0.0007103303329059782
202145_at,0.0007095811819948794
225741_at,0.0007087598745510907
203816_at,0.0007069493446576733
224594_x_at,0.000704693778144753
209161_at,0.0007013803589402401
211715_s_at,0.0006923272545304389
210640_s_at,0.0006903861083795102
200960_x_at,0.0006851114544180757
219343_at,0.0006816313590223872
200068_s_at,0.0006800672086292294
215269_at,0.0006795343791208278
201255_x_at,0.0006793440263453102
217482_at,0.0006785507482278059
212832_s_at,0.0006767567052004623
205690_s_at,0.0006744375449635351
223037_at,0.000673724911117888
212178_s_at,0.0006641307595778391
222785_x_at,0.0006628143477148736
237040_at,0.0006597484194102552
213555_at,0.0006552882772666762
230656_s_at,0.0006480258212379676
200625_s_at,0.0006425568844579982
1559060_a_at,0.0006406882644121968
209953_s_at,0.0006363774156946158
220488_s_at,0.0006325617026653616
233031_at,0.0006322769615382001
225061_at,0.000631166642089425
229606_at,0.0006259681382680734
218763_at,0.0006240356284593016
1555982_at,0.0006217670659506002
224227_s_at,0.0006196965079747199
242611_at,0.0006192652597691263
240971_x_at,0.0006181493684544252
214762_at,0.0006169616626268052
214682_at,0.0006141282144074043
1559375_s_at,0.0006133798983894104
209192_x_at,0.0006052585204028234
204786_s_at,0.00060172290814821
204338_s_at,0.0005985971791736662
223002_s_at,0.0005900971063910095
202012_s_at,0.0005900928043994556
209196_at,0.0005887855745140975
212837_at,0.0005845077486923748
204260_at,0.0005796450903395773
1558118_at,0.0005786979780340445
202975_s_at,0.0005750653297369512
206562_s_at,0.0005743886222826129
202443_x_at,0.0005653919958497427
237444_at,0.000562552968283057
215383_x_at,0.0005595720069404282
206483_at,0.0005537606891626251
208999_at,0.0005527049013842591
242609_x_at,0.0005523707181555125
221432_s_at,0.000550879447085168
200027_at,0.0005506841006117296
222983_s_at,0.0005503557289271581
222005_s_at,0.0005440989279362824
238584_at,0.0005432989358889897
205325_at,0.0005411639293642553
231271_x_at,0.000539886113694498
239035_at,0.0005389690002196996
224187_x_at,0.0005346667801764337
233152_x_at,0.000531893128650817
220260_at,0.0005283236101091187
210448_s_at,0.0005221345162688209
222809_x_at,0.0005192580877814072
201232_s_at,0.0005166571309892721
224680_at,0.0005163129219195213
224851_at,0.0005145382308593243
202120_x_at,0.0005143057299217986
222780_s_at,0.0005137992801700343
208121_s_at,0.0005113350603780114
203122_at,0.0005106138653998394
233816_at,0.0005079194512420038
201217_x_at,0.0005062291829621884
222132_s_at,0.0005048538676956076
204094_s_at,0.0005019829928568358
57082_at,0.0005013953003201383
213789_at,0.0004940065823946461
215116_s_at,0.0004937218264551533
242673_at,0.0004934253773014309
1558739_at,0.0004900508043237308
203723_at,0.0004896749456614989
210130_s_at,0.0004873086386580584
224871_at,0.0004857623897859448
206621_s_at,0.0004817938452853301
207504_at,0.00048125214787257686
212491_s_at,0.00047963291690529276
214736_s_at,0.00047552262940009094
238058_at,0.0004749831885155258
214671_s_at,0.00047357918396218556
212432_at,0.00047320349610528934
230411_at,0.0004727937779380074
201173_x_at,0.0004726643309409104
1556364_at,0.0004717284400002489
209093_s_at,0.0004705338363535372
204823_at,0.00046920718538616114
211297_s_at,0.0004663209708235744
232392_at,0.0004636652692677751
239629_at,0.00046342763101496996
233700_at,0.00046285114627427824
209583_s_at,0.00046192144192711617
220948_s_at,0.00046115034995876435
209252_at,0.00045777749412476186
200637_s_at,0.00045753177380630284
209336_at,0.00045594920389372936
200801_x_at,0.00045502706648481325
229541_at,0.0004531307055101723
224280_s_at,0.0004519526726333031
218735_s_at,0.00045173766671813487
221893_s_at,0.0004508926593270736
221495_s_at,0.0004505478674159372
36711_at,0.0004495278778193614
226391_at,0.00044738956555834573
208621_s_at,0.00044536785483760696
242377_x_at,0.0004443558659463199
233842_x_at,0.0004426967400979398
218080_x_at,0.00044182923773374076
237768_x_at,0.00043984296499387026
217939_s_at,0.0004382786653704008
204324_s_at,0.00043701977035310365
221598_s_at,0.00043423983051084955
200082_s_at,0.0004334763908898952
225001_at,0.000431993618029769
219543_at,0.0004295561168376652
242573_at,0.00042927514738865983
1554447_at,0.00042883710908150837
223211_at,0.0004268885682100786
205346_at,0.0004254015538368457
203031_s_at,0.0004253557148144107
235009_at,0.0004240836128663006
229917_at,0.00042048555580661423
223185_s_at,0.00041950147611379484
233868_x_at,0.00041904243079533067
204365_s_at,0.0004189479760960457
211597_s_at,0.00041888444957427344
223011_s_at,0.00041875328413789974
209219_at,0.0004183375311394638
236817_at,0.0004162423887889188
224999_at,0.00041505540647740035
212894_at,0.00041486055451089426
208953_at,0.0004141288126445018
211073_x_at,0.0004130781156474744
228855_at,0.00040871287124262436
240180_at,0.00040646995050286377
200065_s_at,0.0004037366072896599
243361_at,0.0004032957198010499
237018_at,0.00040195334372244876
200640_at,0.0004012978789041082
