gene,importance_mean,importance_std
243618_s_at,0.0,0.0
243593_s_at,0.0,0.0
243578_at,0.0,0.0
243561_at,0.0,0.0
243498_at,0.0,0.0
243496_at,0.0,0.0
243442_x_at,0.0,0.0
243431_at,0.0,0.0
243414_at,0.0,0.0
243398_at,0.0,0.0
243361_at,0.0,0.0
243350_at,0.0,0.0
243329_at,0.0,0.0
243305_at,0.0,0.0
243300_at,0.0,0.0
243256_at,0.0,0.0
243249_at,0.0,0.0
243233_at,0.0,0.0
243203_at,0.0,0.0
243184_at,0.0,0.0
243182_at,0.0,0.0
243178_at,0.0,0.0
243158_at,0.0,0.0
243127_x_at,0.0,0.0
243046_at,0.0,0.0
243031_at,0.0,0.0
243025_at,0.0,0.0
238017_at,0.0,0.0
237999_at,0.0,0.0
228855_at,0.0,0.0
232003_at,0.0,0.0
232266_x_at,0.0,0.0
232264_at,0.0,0.0
232253_at,0.0,0.0
232215_x_at,0.0,0.0
232205_at,0.0,0.0
232169_x_at,0.0,0.0
232150_at,0.0,0.0
232140_at,0.0,0.0
232120_at,0.0,0.0
232058_at,0.0,0.0
232028_at,0.0,0.0
232027_at,0.0,0.0
232011_s_at,0.0,0.0
231986_at,0.0,0.0
233204_at,0.0,0.0
231967_at,0.0,0.0
231896_s_at,0.0,0.0
231887_s_at,0.0,0.0
231825_x_at,0.0,0.0
231735_s_at,0.0,0.0
231713_s_at,0.0,0.0
231695_at,0.0,0.0
231530_s_at,0.0,0.0
231506_at,0.0,0.0
231327_at,0.0,0.0
231311_at,0.0,0.0
231281_at,0.0,0.0
231271_x_at,0.0,0.0
232280_at,0.0,0.0
232288_at,0.0,0.0
232305_at,0.0,0.0
232311_at,0.0,0.0
233152_x_at,0.0,0.0
233057_at,0.0,0.0
233056_x_at,0.0,0.0
233041_x_at,0.0,0.0
233039_at,0.0,0.0
233037_at,0.0,0.0
233031_at,0.0,0.0
233017_x_at,0.0,0.0
232883_at,0.0,0.0
232814_x_at,0.0,0.0
232795_at,0.0,0.0
232778_at,0.0,0.0
232753_at,0.0,0.0
232696_at,0.0,0.0
232695_at,0.0,0.0
232614_at,0.0,0.0
232551_at,0.0,0.0
232541_at,0.0,0.0
232531_at,0.0,0.0
232523_at,0.0,0.0
232516_x_at,0.0,0.0
232471_at,0.0,0.0
232469_x_at,0.0,0.0
232426_at,0.0,0.0
232392_at,0.0,0.0
232386_at,0.0,0.0
232347_x_at,0.0,0.0
231166_at,0.0,0.0
231136_at,0.0,0.0
231016_s_at,0.0,0.0
229811_at,0.0,0.0
229793_at,0.0,0.0
229776_at,0.0,0.0
229715_at,0.0,0.0
229677_at,0.0,0.0
229663_at,0.0,0.0
229656_s_at,0.0,0.0
229606_at,0.0,0.0
229541_at,0.0,0.0
229537_at,0.0,0.0
229520_s_at,0.0,0.0
229467_at,0.0,0.0
229353_s_at,0.0,0.0
229319_at,0.0,0.0
229312_s_at,0.0,0.0
229300_at,0.0,0.0
229293_at,0.0,0.0
229289_at,0.0,0.0
229202_at,0.0,0.0
229145_at,0.0,0.0
229099_at,0.0,0.0
229065_at,0.0,0.0
229061_s_at,0.0,0.0
229039_at,0.0,0.0
229035_s_at,0.0,0.0
228959_at,0.0,0.0
228943_at,0.0,0.0
228882_at,0.0,0.0
229810_at,0.0,0.0
229818_at,0.0,0.0
231015_at,0.0,0.0
229830_at,0.0,0.0
230970_at,0.0,0.0
230950_at,0.0,0.0
230949_at,0.0,0.0
