gene,F_score,p_value
1553976_a_at,21.251543079356065,1.596396326675815e-05
237600_at,21.242790921057594,1.6020980588441144e-05
211370_s_at,21.23454497804475,1.607489193617711e-05
232531_at,21.23392578426107,1.6078947710245408e-05
202254_at,21.23147534018563,1.6095008674107782e-05
209159_s_at,21.229357304673737,1.610890423915014e-05
224393_s_at,21.220283495760608,1.616857374461323e-05
34225_at,21.21238073080136,1.6220727851735806e-05
212895_s_at,21.208791077278622,1.6244474863325798e-05
241893_at,21.207774017192463,1.6251209633369817e-05
229467_at,21.20564441054493,1.626532077982145e-05
229793_at,21.20383029058675,1.6277351407162585e-05
1556359_at,21.194809735680646,1.6337308854894032e-05
213407_at,21.186640667441893,1.639180289026517e-05
209093_s_at,21.18578955604295,1.639749122014624e-05
200967_at,21.17427199935481,1.6474667984652914e-05
212674_s_at,21.143176331822858,1.6684907189734458e-05
239096_at,21.13848160225869,1.6716887667882667e-05
207436_x_at,21.134391036269818,1.674480404021991e-05
236725_at,21.115224976873073,1.6876245020420452e-05
201932_at,21.112130071433842,1.6897569324546746e-05
225379_at,21.08781391608348,1.706607913708761e-05
212197_x_at,21.08740099046984,1.7068955586389775e-05
232386_at,21.08625670438008,1.7076929318347255e-05
202471_s_at,21.083918585273285,1.7093233967691945e-05
207088_s_at,21.072002125224042,1.71765816425016e-05
201971_s_at,21.07130954078946,1.7181438656442327e-05
214375_at,21.06449549959575,1.722930020234148e-05
200877_at,21.062233154254184,1.724522116235236e-05
218456_at,21.050757171766005,1.732621552855272e-05
218118_s_at,21.04310894578077,1.738041205135349e-05
212271_at,21.039156896296852,1.7408485265408186e-05
204031_s_at,21.038457632094214,1.7413457318197513e-05
243704_at,21.022886588175236,1.752455339821424e-05
203157_s_at,21.02245745568807,1.7527625480561984e-05
1554771_at,20.992452261449074,1.774380808895625e-05
212062_at,20.99130416924777,1.7752134238571883e-05
218609_s_at,20.987425757617142,1.778029086713327e-05
229677_at,20.981951365271637,1.7820112338842275e-05
207721_x_at,20.97011207348492,1.790654733063057e-05
209849_s_at,20.952651132439712,1.8034812842087154e-05
1554447_at,20.952495731342076,1.8035958633524185e-05
241613_at,20.951860659897566,1.8040641872671066e-05
201274_at,20.95120543789179,1.804547502155117e-05
201619_at,20.938654224789033,1.8138315036938636e-05
230150_at,20.93587870849409,1.815891156528553e-05
222609_s_at,20.92224447518149,1.826043865846185e-05
200975_at,20.9121670890615,1.8335855294376237e-05
217841_s_at,20.908901416983053,1.836036351741418e-05
201135_at,20.902880967369946,1.8405634256731077e-05
221797_at,20.89813631802842,1.8441392600353288e-05
1554675_a_at,20.89688795792656,1.8450812825386992e-05
1569409_x_at,20.881089241049256,1.8570460284749097e-05
201549_x_at,20.8805258699395,1.8574741552142888e-05
227322_s_at,20.875212471732958,1.8615170080381518e-05
212537_x_at,20.872059642453944,1.863920211886498e-05
221899_at,20.867931816771407,1.8670714246865827e-05
235592_at,20.86423358735695,1.8698993397668846e-05
200780_x_at,20.859041441371957,1.8738770489984588e-05
1554213_at,20.849571810459267,1.88115419738281e-05
200811_at,20.84175361892654,1.8871841890546127e-05
201145_at,20.838506264395242,1.889694646380787e-05
240723_at,20.837644525020174,1.890361415061132e-05
211983_x_at,20.83513754821633,1.89230256002646e-05
203333_at,20.83353621585418,1.8935435412689144e-05
204690_at,20.833249971898326,1.893765459434931e-05
219425_at,20.832371284970144,1.8944468519267823e-05
227196_at,20.83122201482154,1.895338453780092e-05
224612_s_at,20.827269488686547,1.898408116820824e-05
241387_at,20.817987354064197,1.9056370757809198e-05
243683_at,20.81427076848597,1.908539507405467e-05
235879_at,20.808473317409234,1.9130760627570292e-05
232516_x_at,20.78646925483345,1.9303957304469394e-05
234926_s_at,20.785565245140862,1.931110731080501e-05
202320_at,20.783690863758643,1.9325940885294618e-05
201345_s_at,20.77835082842088,1.936826549333012e-05
1553357_at,20.774964875398584,1.9395151671278923e-05
238199_x_at,20.77157890889414,1.942207639154745e-05
229830_at,20.769780104794428,1.9436395876538607e-05
229810_at,20.75197589454438,1.957871504566673e-05
242972_at,20.75169647151779,1.9580957166033982e-05
241681_at,20.744808073706313,1.9636314094535327e-05
203079_s_at,20.737887483396317,1.9692092035589955e-05
212491_s_at,20.732618169728685,1.9734670559349554e-05
212832_s_at,20.731487216832235,1.9743821539928375e-05
228581_at,20.72771238047236,1.9774396857431348e-05
238009_at,20.71960312049939,1.984024501787732e-05
212878_s_at,20.714161973240763,1.9884554333023665e-05
1554260_a_at,20.706314394123325,1.9948639679053585e-05
217840_at,20.7043715624062,1.9964538163074922e-05
211710_x_at,20.69876028851248,2.0010529366081443e-05
219338_s_at,20.691940390772654,2.0066573630387654e-05
203798_s_at,20.683848354872286,2.0133281756078763e-05
1560741_at,20.683336243155416,2.0137511115289558e-05
215001_s_at,20.68109588114174,2.015602427431305e-05
203459_s_at,20.666622803585604,2.027604519133757e-05
